"Category","Pathway","Cohens_d_HCC","Cohens_d_HF","Short_Label"
"Other","HALLMARK_E2F_TARGETS",2.347,-0.746,"E2F_TARGETS"
"Other","HALLMARK_G2M_CHECKPOINT",2.134,-0.731,"G2M_CHECKPOINT"
"Other","HALLMARK_FATTY_ACID_METABOLISM",-2.035,-0.103,"FATTY_ACID_METABOLISM"
"Other","HALLMARK_XENOBIOTIC_METABOLISM",-2.008,-0.656,"XENOBIOTIC_METABOLISM"
"Other","HALLMARK_ANDROGEN_RESPONSE",-1.812,-1.002,"ANDROGEN_RESPONSE"
"Other","HALLMARK_SPERMATOGENESIS",1.727,0.031,"SPERMATOGENESIS"
"Other","HALLMARK_MITOTIC_SPINDLE",1.537,-0.149,"MITOTIC_SPINDLE"
"Other","HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.536,-1.157,"ESTROGEN_RESPONSE_EARLY"
"Other","HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.532,-0.463,"TNFA_SIGNALING_VIA_NFKB"
"Other","HALLMARK_DNA_REPAIR",1.52,-0.322,"DNA_REPAIR"
"Other","HALLMARK_BILE_ACID_METABOLISM",-1.47,0.794,"BILE_ACID_METABOLISM"
"Other","HALLMARK_IL2_STAT5_SIGNALING",-1.46,-0.503,"IL2_STAT5_SIGNALING"
"Other","HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.457,-0.346,"WNT_BETA_CATENIN_SIGNALING"
"Other","HALLMARK_INFLAMMATORY_RESPONSE",-1.449,-0.603,"INFLAMMATORY_RESPONSE"
"Other","HALLMARK_ADIPOGENESIS",-1.441,-0.129,"ADIPOGENESIS"
"Other","HALLMARK_HYPOXIA",-1.404,-0.215,"HYPOXIA"
"Other","HALLMARK_UV_RESPONSE_DN",-1.382,0.464,"UV_RESPONSE_DN"
"Other","HALLMARK_HEME_METABOLISM",-1.366,-0.54,"HEME_METABOLISM"
"Other","HALLMARK_COAGULATION",-1.329,0.034,"COAGULATION"
"Other","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.286,-0.806,"UNFOLDED_PROTEIN_RESPONSE"
"Other","HALLMARK_COMPLEMENT",-1.262,-0.374,"COMPLEMENT"
"Other","HALLMARK_KRAS_SIGNALING_DN",-1.18,0.526,"KRAS_SIGNALING_DN"
"Other","HALLMARK_KRAS_SIGNALING_UP",-1.176,-0.171,"KRAS_SIGNALING_UP"
"Other","HALLMARK_TGF_BETA_SIGNALING",-1.16,-0.424,"TGF_BETA_SIGNALING"
"Other","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",1.128,-0.425,"NONSENSE_MEDIATED_DECAY_NMD"
"Other","HALLMARK_APOPTOSIS",-1.088,-0.091,"APOPTOSIS"
"Other","HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.992,-0.86,"IL6_JAK_STAT3_SIGNALING"
"Other","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.945,-0.629,"PI3K_AKT_MTOR_SIGNALING"
"Other","HALLMARK_ESTROGEN_RESPONSE_LATE",-0.875,-1.103,"ESTROGEN_RESPONSE_LATE"
"Other","HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.826,0.174,"INTERFERON_GAMMA_RESPONSE"
"Other","HALLMARK_PEROXISOME",-0.752,0.19,"PEROXISOME"
"Other","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.725,-0.5,"CHOLESTEROL_HOMEOSTASIS"
"Other","HALLMARK_APICAL_JUNCTION",0.705,-0.265,"APICAL_JUNCTION"
"Other","HALLMARK_ALLOGRAFT_REJECTION",-0.61,-0.071,"ALLOGRAFT_REJECTION"
"Other","HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.512,0.666,"INTERFERON_ALPHA_RESPONSE"
"Other","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.49,0.103,"OXIDATIVE_PHOSPHORYLATION"
"Other","HALLMARK_UV_RESPONSE_UP",-0.467,-1.241,"UV_RESPONSE_UP"
"Other","HALLMARK_APICAL_SURFACE",-0.372,0.123,"APICAL_SURFACE"
"Other","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.357,0.31,"EPITHELIAL_MESENCHYMAL_TRANSITION"
"Other","HALLMARK_GLYCOLYSIS",0.354,-0.411,"GLYCOLYSIS"
"Other","HALLMARK_P53_PATHWAY",-0.263,-0.752,"P53_PATHWAY"
"Other","HALLMARK_PANCREAS_BETA_CELLS",-0.244,-0.958,"PANCREAS_BETA_CELLS"
"Other","HALLMARK_MYOGENESIS",-0.24,-0.024,"MYOGENESIS"
"Other","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.221,-1.737,"REACTIVE_OXYGEN_SPECIES_PATHWAY"
"Other","HALLMARK_HEDGEHOG_SIGNALING",0.21,0.197,"HEDGEHOG_SIGNALING"
"Other","HALLMARK_PROTEIN_SECRETION",0.194,-0.207,"PROTEIN_SECRETION"
"Other","HALLMARK_ANGIOGENESIS",0.159,-0.108,"ANGIOGENESIS"
"Other","HALLMARK_NOTCH_SIGNALING",-0.126,0.654,"NOTCH_SIGNALING"
